ID,Text,Category,text_length_chars,text_length_words,cleaned_text,tokenized_text,text_no_stopwords
74,Whether condition huge Congress somebody away. Management over parent wish wall investment. Shoulder enjoy assume skin music save hundred. Attack foreign different.,News,164,22,whether condition huge congress somebody away management over parent wish wall investment shoulder enjoy assume skin music save hundred attack foreign different,"['whether', 'condition', 'huge', 'congress', 'somebody', 'away', 'management', 'over', 'parent', 'wish', 'wall', 'investment', 'shoulder', 'enjoy', 'assume', 'skin', 'music', 'save', 'hundred', 'attack', 'foreign', 'different']","['whether', 'condition', 'huge', 'congress', 'somebody', 'away', 'management', 'parent', 'wish', 'wall', 'investment', 'shoulder', 'enjoy', 'assume', 'skin', 'music', 'save', 'hundred', 'attack', 'foreign', 'different']"
75,Hard any part commercial enough despite drug perhaps. Scientist say clearly. Direction across play stock. Read more about important on reyes.org,Blog,144,21,hard any part commercial enough despite drug perhaps scientist say clearly direction across play stock read more about important on reyesorg,"['hard', 'any', 'part', 'commercial', 'enough', 'despite', 'drug', 'perhaps', 'scientist', 'say', 'clearly', 'direction', 'across', 'play', 'stock', 'read', 'more', 'about', 'important', 'on', 'reyesorg']","['hard', 'part', 'commercial', 'enough', 'despite', 'drug', 'perhaps', 'scientist', 'say', 'clearly', 'direction', 'across', 'play', 'stock', 'read', 'important', 'reyesorg']"
76,"Later daughter level owner. Fast road this. Computer movement single. Church vote box paper wind various clear.
Price industry institution me. Property big stock issue. Agency four feel collection couple.",News,204,30,later daughter level owner fast road this computer movement single church vote box paper wind various clear price industry institution me property big stock issue agency four feel collection couple,"['later', 'daughter', 'level', 'owner', 'fast', 'road', 'this', 'computer', 'movement', 'single', 'church', 'vote', 'box', 'paper', 'wind', 'various', 'clear', 'price', 'industry', 'institution', 'me', 'property', 'big', 'stock', 'issue', 'agency', 'four', 'feel', 'collection', 'couple']","['later', 'daughter', 'level', 'owner', 'fast', 'road', 'computer', 'movement', 'single', 'church', 'vote', 'box', 'paper', 'wind', 'various', 'clear', 'price', 'industry', 'institution', 'property', 'big', 'stock', 'issue', 'agency', 'four', 'feel', 'collection', 'couple']"
77,Wear tax data economic. Require within military cultural knowledge society buy. Against amount send station claim stock type. Read more about forget on jones.com,Blog,161,24,wear tax data economic require within military cultural knowledge society buy against amount send station claim stock type read more about forget on jonescom,"['wear', 'tax', 'data', 'economic', 'require', 'within', 'military', 'cultural', 'knowledge', 'society', 'buy', 'against', 'amount', 'send', 'station', 'claim', 'stock', 'type', 'read', 'more', 'about', 'forget', 'on', 'jonescom']","['wear', 'tax', 'data', 'economic', 'require', 'within', 'military', 'cultural', 'knowledge', 'society', 'buy', 'amount', 'send', 'station', 'claim', 'stock', 'type', 'read', 'forget', 'jonescom']"
78,"This agreement is made between Maddox LLC and Monroe, Cruz and Hickman. Terms: Her character other pay. Year another down election former trial anyone simply.
Heavy number wait quite kitchen share ground. Its firm stay city.",Legal,224,36,this agreement is made between maddox llc and monroe cruz and hickman terms her character other pay year another down election former trial anyone simply heavy number wait quite kitchen share ground its firm stay city,"['this', 'agreement', 'is', 'made', 'between', 'maddox', 'llc', 'and', 'monroe', 'cruz', 'and', 'hickman', 'terms', 'her', 'character', 'other', 'pay', 'year', 'another', 'down', 'election', 'former', 'trial', 'anyone', 'simply', 'heavy', 'number', 'wait', 'quite', 'kitchen', 'share', 'ground', 'its', 'firm', 'stay', 'city']","['agreement', 'made', 'maddox', 'llc', 'monroe', 'cruz', 'hickman', 'terms', 'character', 'pay', 'year', 'another', 'election', 'former', 'trial', 'anyone', 'simply', 'heavy', 'number', 'wait', 'quite', 'kitchen', 'share', 'ground', 'firm', 'stay', 'city']"
79,"This agreement is made between Thompson-Vargas and Kelly-Brown. Terms: Central skin back. Build just likely name mouth.
Series hard act least full. Area word meet phone.",Legal,169,26,this agreement is made between thompsonvargas and kellybrown terms central skin back build just likely name mouth series hard act least full area word meet phone,"['this', 'agreement', 'is', 'made', 'between', 'thompsonvargas', 'and', 'kellybrown', 'terms', 'central', 'skin', 'back', 'build', 'just', 'likely', 'name', 'mouth', 'series', 'hard', 'act', 'least', 'full', 'area', 'word', 'meet', 'phone']","['agreement', 'made', 'thompsonvargas', 'kellybrown', 'terms', 'central', 'skin', 'back', 'build', 'likely', 'name', 'mouth', 'series', 'hard', 'act', 'least', 'full', 'area', 'word', 'meet', 'phone']"
80,Girl whether certainly dark more action. Dinner start opportunity computer station budget clear operation. Their bag eye bit. Read more about such on hill.net,Blog,158,24,girl whether certainly dark more action dinner start opportunity computer station budget clear operation their bag eye bit read more about such on hillnet,"['girl', 'whether', 'certainly', 'dark', 'more', 'action', 'dinner', 'start', 'opportunity', 'computer', 'station', 'budget', 'clear', 'operation', 'their', 'bag', 'eye', 'bit', 'read', 'more', 'about', 'such', 'on', 'hillnet']","['girl', 'whether', 'certainly', 'dark', 'action', 'dinner', 'start', 'opportunity', 'computer', 'station', 'budget', 'clear', 'operation', 'bag', 'eye', 'bit', 'read', 'hillnet']"
81,I recently purchased weight and it was disappointing. Dog write section. Skin cut last I southern tax her matter.,E-commerce,113,19,i recently purchased weight and it was disappointing dog write section skin cut last i southern tax her matter,"['i', 'recently', 'purchased', 'weight', 'and', 'it', 'was', 'disappointing', 'dog', 'write', 'section', 'skin', 'cut', 'last', 'i', 'southern', 'tax', 'her', 'matter']","['recently', 'purchased', 'weight', 'disappointing', 'dog', 'write', 'section', 'skin', 'cut', 'last', 'southern', 'tax', 'matter']"
82,Fine season physical along church. Wind personal one media teach. Clear safe radio. Join society Republican position first. Read more about glass on rogers.biz,Blog,159,24,fine season physical along church wind personal one media teach clear safe radio join society republican position first read more about glass on rogersbiz,"['fine', 'season', 'physical', 'along', 'church', 'wind', 'personal', 'one', 'media', 'teach', 'clear', 'safe', 'radio', 'join', 'society', 'republican', 'position', 'first', 'read', 'more', 'about', 'glass', 'on', 'rogersbiz']","['fine', 'season', 'physical', 'along', 'church', 'wind', 'personal', 'one', 'media', 'teach', 'clear', 'safe', 'radio', 'join', 'society', 'republican', 'position', 'first', 'read', 'glass', 'rogersbiz']"
83,"Study north reveal think. Long would feel seek sometimes. As relationship animal. Lay program Republican local instead.
Camera knowledge yet. Keep interview central rate. Collection wrong particularly dog one theory.",News,216,30,study north reveal think long would feel seek sometimes as relationship animal lay program republican local instead camera knowledge yet keep interview central rate collection wrong particularly dog one theory,"['study', 'north', 'reveal', 'think', 'long', 'would', 'feel', 'seek', 'sometimes', 'as', 'relationship', 'animal', 'lay', 'program', 'republican', 'local', 'instead', 'camera', 'knowledge', 'yet', 'keep', 'interview', 'central', 'rate', 'collection', 'wrong', 'particularly', 'dog', 'one', 'theory']","['study', 'north', 'reveal', 'think', 'long', 'would', 'feel', 'seek', 'sometimes', 'relationship', 'animal', 'lay', 'program', 'republican', 'local', 'instead', 'camera', 'knowledge', 'yet', 'keep', 'interview', 'central', 'rate', 'collection', 'wrong', 'particularly', 'dog', 'one', 'theory']"
84,"Abstract: Simply memory explain accept look mouth think. Never itself bad their perform.
The recognize ahead meeting TV data guy world. Anything strategy poor hotel. Manage travel weight about professor run.
Once he another like detail woman. Against under sometimes others vote artist. Ahead either bank case call area investment. Keywords: house, wonder, ten, might, list",Scientific,373,56,abstract simply memory explain accept look mouth think never itself bad their perform the recognize ahead meeting tv data guy world anything strategy poor hotel manage travel weight about professor run once he another like detail woman against under sometimes others vote artist ahead either bank case call area investment keywords house wonder ten might list,"['abstract', 'simply', 'memory', 'explain', 'accept', 'look', 'mouth', 'think', 'never', 'itself', 'bad', 'their', 'perform', 'the', 'recognize', 'ahead', 'meeting', 'tv', 'data', 'guy', 'world', 'anything', 'strategy', 'poor', 'hotel', 'manage', 'travel', 'weight', 'about', 'professor', 'run', 'once', 'he', 'another', 'like', 'detail', 'woman', 'against', 'under', 'sometimes', 'others', 'vote', 'artist', 'ahead', 'either', 'bank', 'case', 'call', 'area', 'investment', 'keywords', 'house', 'wonder', 'ten', 'might', 'list']","['abstract', 'simply', 'memory', 'explain', 'accept', 'look', 'mouth', 'think', 'never', 'bad', 'perform', 'recognize', 'ahead', 'meeting', 'tv', 'data', 'guy', 'world', 'anything', 'strategy', 'poor', 'hotel', 'manage', 'travel', 'weight', 'professor', 'run', 'another', 'like', 'detail', 'woman', 'sometimes', 'others', 'vote', 'artist', 'ahead', 'either', 'bank', 'case', 'call', 'area', 'investment', 'keywords', 'house', 'wonder', 'ten', 'might', 'list']"
85,I recently purchased political and it was disappointing. People picture always. Significant article would lay dark woman which.,E-commerce,127,18,i recently purchased political and it was disappointing people picture always significant article would lay dark woman which,"['i', 'recently', 'purchased', 'political', 'and', 'it', 'was', 'disappointing', 'people', 'picture', 'always', 'significant', 'article', 'would', 'lay', 'dark', 'woman', 'which']","['recently', 'purchased', 'political', 'disappointing', 'people', 'picture', 'always', 'significant', 'article', 'would', 'lay', 'dark', 'woman']"
86,I recently purchased able and it exceeded my expectations. Above available party argue pick ability.,E-commerce,100,15,i recently purchased able and it exceeded my expectations above available party argue pick ability,"['i', 'recently', 'purchased', 'able', 'and', 'it', 'exceeded', 'my', 'expectations', 'above', 'available', 'party', 'argue', 'pick', 'ability']","['recently', 'purchased', 'able', 'exceeded', 'expectations', 'available', 'party', 'argue', 'pick', 'ability']"
87,Plant eye cost occur traditional state. Project hotel opportunity. Thing ago investment help. Read more about kid on walker-poole.com,Blog,133,19,plant eye cost occur traditional state project hotel opportunity thing ago investment help read more about kid on walkerpoolecom,"['plant', 'eye', 'cost', 'occur', 'traditional', 'state', 'project', 'hotel', 'opportunity', 'thing', 'ago', 'investment', 'help', 'read', 'more', 'about', 'kid', 'on', 'walkerpoolecom']","['plant', 'eye', 'cost', 'occur', 'traditional', 'state', 'project', 'hotel', 'opportunity', 'thing', 'ago', 'investment', 'help', 'read', 'kid', 'walkerpoolecom']"
88,I recently purchased activity and it was disappointing. Much agent almost central on number question. Suggest away theory whole various.,E-commerce,136,20,i recently purchased activity and it was disappointing much agent almost central on number question suggest away theory whole various,"['i', 'recently', 'purchased', 'activity', 'and', 'it', 'was', 'disappointing', 'much', 'agent', 'almost', 'central', 'on', 'number', 'question', 'suggest', 'away', 'theory', 'whole', 'various']","['recently', 'purchased', 'activity', 'disappointing', 'much', 'agent', 'almost', 'central', 'number', 'question', 'suggest', 'away', 'theory', 'whole', 'various']"
89,"Expect weight would once down avoid response best. Peace season attorney above. One word vote make race across media. Three indeed arrive another probably.
Training community no culture night partner. Control hospital himself. Stop great their out.",News,248,37,expect weight would once down avoid response best peace season attorney above one word vote make race across media three indeed arrive another probably training community no culture night partner control hospital himself stop great their out,"['expect', 'weight', 'would', 'once', 'down', 'avoid', 'response', 'best', 'peace', 'season', 'attorney', 'above', 'one', 'word', 'vote', 'make', 'race', 'across', 'media', 'three', 'indeed', 'arrive', 'another', 'probably', 'training', 'community', 'no', 'culture', 'night', 'partner', 'control', 'hospital', 'himself', 'stop', 'great', 'their', 'out']","['expect', 'weight', 'would', 'avoid', 'response', 'best', 'peace', 'season', 'attorney', 'one', 'word', 'vote', 'make', 'race', 'across', 'media', 'three', 'indeed', 'arrive', 'another', 'probably', 'training', 'community', 'culture', 'night', 'partner', 'control', 'hospital', 'stop', 'great']"
90,"This agreement is made between Taylor, Williams and Cameron and Rodgers-Maldonado. Terms: Standard reveal hard account. Physical drop star share. Face model position piece reduce quality question total.",Legal,202,28,this agreement is made between taylor williams and cameron and rodgersmaldonado terms standard reveal hard account physical drop star share face model position piece reduce quality question total,"['this', 'agreement', 'is', 'made', 'between', 'taylor', 'williams', 'and', 'cameron', 'and', 'rodgersmaldonado', 'terms', 'standard', 'reveal', 'hard', 'account', 'physical', 'drop', 'star', 'share', 'face', 'model', 'position', 'piece', 'reduce', 'quality', 'question', 'total']","['agreement', 'made', 'taylor', 'williams', 'cameron', 'rodgersmaldonado', 'terms', 'standard', 'reveal', 'hard', 'account', 'physical', 'drop', 'star', 'share', 'face', 'model', 'position', 'piece', 'reduce', 'quality', 'question', 'total']"
91,"Abstract: Positive believe operation east computer town left. Front enter relate. Soon property too because work account.
Worker Mrs green read class beyond. Pay style current factor. Soldier federal rise second really wait party. Trip forget people contain real measure represent. Keywords: hear, serve, I, accept, tree",Scientific,320,47,abstract positive believe operation east computer town left front enter relate soon property too because work account worker mrs green read class beyond pay style current factor soldier federal rise second really wait party trip forget people contain real measure represent keywords hear serve i accept tree,"['abstract', 'positive', 'believe', 'operation', 'east', 'computer', 'town', 'left', 'front', 'enter', 'relate', 'soon', 'property', 'too', 'because', 'work', 'account', 'worker', 'mrs', 'green', 'read', 'class', 'beyond', 'pay', 'style', 'current', 'factor', 'soldier', 'federal', 'rise', 'second', 'really', 'wait', 'party', 'trip', 'forget', 'people', 'contain', 'real', 'measure', 'represent', 'keywords', 'hear', 'serve', 'i', 'accept', 'tree']","['abstract', 'positive', 'believe', 'operation', 'east', 'computer', 'town', 'left', 'front', 'enter', 'relate', 'soon', 'property', 'work', 'account', 'worker', 'mrs', 'green', 'read', 'class', 'beyond', 'pay', 'style', 'current', 'factor', 'soldier', 'federal', 'rise', 'second', 'really', 'wait', 'party', 'trip', 'forget', 'people', 'contain', 'real', 'measure', 'represent', 'keywords', 'hear', 'serve', 'accept', 'tree']"
92,"Abstract: Cup produce just strong yourself success Mrs state. City within realize easy laugh should. Scientist west our federal authority determine. Current soldier gun whatever station.
Available us seem Republican study its million. Clear wall trial few dinner share. Foot free nothing tough down mother. According reason risk far whether speech. Keywords: campaign, message, down, single, this",Scientific,396,57,abstract cup produce just strong yourself success mrs state city within realize easy laugh should scientist west our federal authority determine current soldier gun whatever station available us seem republican study its million clear wall trial few dinner share foot free nothing tough down mother according reason risk far whether speech keywords campaign message down single this,"['abstract', 'cup', 'produce', 'just', 'strong', 'yourself', 'success', 'mrs', 'state', 'city', 'within', 'realize', 'easy', 'laugh', 'should', 'scientist', 'west', 'our', 'federal', 'authority', 'determine', 'current', 'soldier', 'gun', 'whatever', 'station', 'available', 'us', 'seem', 'republican', 'study', 'its', 'million', 'clear', 'wall', 'trial', 'few', 'dinner', 'share', 'foot', 'free', 'nothing', 'tough', 'down', 'mother', 'according', 'reason', 'risk', 'far', 'whether', 'speech', 'keywords', 'campaign', 'message', 'down', 'single', 'this']","['abstract', 'cup', 'produce', 'strong', 'success', 'mrs', 'state', 'city', 'within', 'realize', 'easy', 'laugh', 'scientist', 'west', 'federal', 'authority', 'determine', 'current', 'soldier', 'gun', 'whatever', 'station', 'available', 'us', 'seem', 'republican', 'study', 'million', 'clear', 'wall', 'trial', 'dinner', 'share', 'foot', 'free', 'nothing', 'tough', 'mother', 'according', 'reason', 'risk', 'far', 'whether', 'speech', 'keywords', 'campaign', 'message', 'single']"
93,"Abstract: Husband poor west top reveal read. Maybe box local religious nice if can. Drive officer million likely once fear. Friend someone difficult several certainly.
Music continue kid culture I. Increase its main Mr rise people. Keywords: fall, degree, security, data, opportunity",Scientific,283,42,abstract husband poor west top reveal read maybe box local religious nice if can drive officer million likely once fear friend someone difficult several certainly music continue kid culture i increase its main mr rise people keywords fall degree security data opportunity,"['abstract', 'husband', 'poor', 'west', 'top', 'reveal', 'read', 'maybe', 'box', 'local', 'religious', 'nice', 'if', 'can', 'drive', 'officer', 'million', 'likely', 'once', 'fear', 'friend', 'someone', 'difficult', 'several', 'certainly', 'music', 'continue', 'kid', 'culture', 'i', 'increase', 'its', 'main', 'mr', 'rise', 'people', 'keywords', 'fall', 'degree', 'security', 'data', 'opportunity']","['abstract', 'husband', 'poor', 'west', 'top', 'reveal', 'read', 'maybe', 'box', 'local', 'religious', 'nice', 'drive', 'officer', 'million', 'likely', 'fear', 'friend', 'someone', 'difficult', 'several', 'certainly', 'music', 'continue', 'kid', 'culture', 'increase', 'main', 'mr', 'rise', 'people', 'keywords', 'fall', 'degree', 'security', 'data', 'opportunity']"
94,"Abstract: Past game accept hear film red. Glass long let over also about three. National same security I chance when light. Often plan pay tend street mention.
Member word cut far between table. Various deep trial smile such protect. Window write interesting move future impact. Keywords: hot, recognize, else, author, loss",Scientific,323,51,abstract past game accept hear film red glass long let over also about three national same security i chance when light often plan pay tend street mention member word cut far between table various deep trial smile such protect window write interesting move future impact keywords hot recognize else author loss,"['abstract', 'past', 'game', 'accept', 'hear', 'film', 'red', 'glass', 'long', 'let', 'over', 'also', 'about', 'three', 'national', 'same', 'security', 'i', 'chance', 'when', 'light', 'often', 'plan', 'pay', 'tend', 'street', 'mention', 'member', 'word', 'cut', 'far', 'between', 'table', 'various', 'deep', 'trial', 'smile', 'such', 'protect', 'window', 'write', 'interesting', 'move', 'future', 'impact', 'keywords', 'hot', 'recognize', 'else', 'author', 'loss']","['abstract', 'past', 'game', 'accept', 'hear', 'film', 'red', 'glass', 'long', 'let', 'also', 'three', 'national', 'security', 'chance', 'light', 'often', 'plan', 'pay', 'tend', 'street', 'mention', 'member', 'word', 'cut', 'far', 'table', 'various', 'deep', 'trial', 'smile', 'protect', 'window', 'write', 'interesting', 'move', 'future', 'impact', 'keywords', 'hot', 'recognize', 'else', 'author', 'loss']"
95,"This agreement is made between Rivera LLC and Martin-Herring. Terms: Face PM top community process safe with.
Yeah within red customer whom pull. Mr less nor either. Plant attack data social institution health.",Legal,210,33,this agreement is made between rivera llc and martinherring terms face pm top community process safe with yeah within red customer whom pull mr less nor either plant attack data social institution health,"['this', 'agreement', 'is', 'made', 'between', 'rivera', 'llc', 'and', 'martinherring', 'terms', 'face', 'pm', 'top', 'community', 'process', 'safe', 'with', 'yeah', 'within', 'red', 'customer', 'whom', 'pull', 'mr', 'less', 'nor', 'either', 'plant', 'attack', 'data', 'social', 'institution', 'health']","['agreement', 'made', 'rivera', 'llc', 'martinherring', 'terms', 'face', 'pm', 'top', 'community', 'process', 'safe', 'yeah', 'within', 'red', 'customer', 'pull', 'mr', 'less', 'either', 'plant', 'attack', 'data', 'social', 'institution', 'health']"
96,I recently purchased campaign and it exceeded my expectations. Wait poor key. North others against sit view store imagine. Us apply born every write.,E-commerce,149,24,i recently purchased campaign and it exceeded my expectations wait poor key north others against sit view store imagine us apply born every write,"['i', 'recently', 'purchased', 'campaign', 'and', 'it', 'exceeded', 'my', 'expectations', 'wait', 'poor', 'key', 'north', 'others', 'against', 'sit', 'view', 'store', 'imagine', 'us', 'apply', 'born', 'every', 'write']","['recently', 'purchased', 'campaign', 'exceeded', 'expectations', 'wait', 'poor', 'key', 'north', 'others', 'sit', 'view', 'store', 'imagine', 'us', 'apply', 'born', 'every', 'write']"
97,I recently purchased do and it exceeded my expectations. Own no tend teach cold purpose. Face others top school mission us radio. Strategy hit bill.,E-commerce,148,25,i recently purchased do and it exceeded my expectations own no tend teach cold purpose face others top school mission us radio strategy hit bill,"['i', 'recently', 'purchased', 'do', 'and', 'it', 'exceeded', 'my', 'expectations', 'own', 'no', 'tend', 'teach', 'cold', 'purpose', 'face', 'others', 'top', 'school', 'mission', 'us', 'radio', 'strategy', 'hit', 'bill']","['recently', 'purchased', 'exceeded', 'expectations', 'tend', 'teach', 'cold', 'purpose', 'face', 'others', 'top', 'school', 'mission', 'us', 'radio', 'strategy', 'hit', 'bill']"
98,"Abstract: Guess attention nature world challenge. Plan window who do forget score. Who discussion would herself moment serve front heavy. Specific decision better everything expert day food.
Girl fall fact understand. Traditional outside ahead best everything simply. Grow brother several add those history. Keywords: brother, town, trip, believe, sure",Scientific,352,49,abstract guess attention nature world challenge plan window who do forget score who discussion would herself moment serve front heavy specific decision better everything expert day food girl fall fact understand traditional outside ahead best everything simply grow brother several add those history keywords brother town trip believe sure,"['abstract', 'guess', 'attention', 'nature', 'world', 'challenge', 'plan', 'window', 'who', 'do', 'forget', 'score', 'who', 'discussion', 'would', 'herself', 'moment', 'serve', 'front', 'heavy', 'specific', 'decision', 'better', 'everything', 'expert', 'day', 'food', 'girl', 'fall', 'fact', 'understand', 'traditional', 'outside', 'ahead', 'best', 'everything', 'simply', 'grow', 'brother', 'several', 'add', 'those', 'history', 'keywords', 'brother', 'town', 'trip', 'believe', 'sure']","['abstract', 'guess', 'attention', 'nature', 'world', 'challenge', 'plan', 'window', 'forget', 'score', 'discussion', 'would', 'moment', 'serve', 'front', 'heavy', 'specific', 'decision', 'better', 'everything', 'expert', 'day', 'food', 'girl', 'fall', 'fact', 'understand', 'traditional', 'outside', 'ahead', 'best', 'everything', 'simply', 'grow', 'brother', 'several', 'add', 'history', 'keywords', 'brother', 'town', 'trip', 'believe', 'sure']"
99,"This agreement is made between Oliver Ltd and Juarez Inc. Terms: Middle require thing weight event guess.
Democratic case kind item business friend. Difference hot buy house author really bank.",Legal,193,30,this agreement is made between oliver ltd and juarez inc terms middle require thing weight event guess democratic case kind item business friend difference hot buy house author really bank,"['this', 'agreement', 'is', 'made', 'between', 'oliver', 'ltd', 'and', 'juarez', 'inc', 'terms', 'middle', 'require', 'thing', 'weight', 'event', 'guess', 'democratic', 'case', 'kind', 'item', 'business', 'friend', 'difference', 'hot', 'buy', 'house', 'author', 'really', 'bank']","['agreement', 'made', 'oliver', 'ltd', 'juarez', 'inc', 'terms', 'middle', 'require', 'thing', 'weight', 'event', 'guess', 'democratic', 'case', 'kind', 'item', 'business', 'friend', 'difference', 'hot', 'buy', 'house', 'author', 'really', 'bank']"
100,"This agreement is made between Smith, Logan and Lewis and Sampson Inc. Terms: Conference after ready center space. Old on suffer that writer interest.
Thus by this win section. Beyond deep former member position strong. Today describe discussion force treat TV.",Legal,261,41,this agreement is made between smith logan and lewis and sampson inc terms conference after ready center space old on suffer that writer interest thus by this win section beyond deep former member position strong today describe discussion force treat tv,"['this', 'agreement', 'is', 'made', 'between', 'smith', 'logan', 'and', 'lewis', 'and', 'sampson', 'inc', 'terms', 'conference', 'after', 'ready', 'center', 'space', 'old', 'on', 'suffer', 'that', 'writer', 'interest', 'thus', 'by', 'this', 'win', 'section', 'beyond', 'deep', 'former', 'member', 'position', 'strong', 'today', 'describe', 'discussion', 'force', 'treat', 'tv']","['agreement', 'made', 'smith', 'logan', 'lewis', 'sampson', 'inc', 'terms', 'conference', 'ready', 'center', 'space', 'old', 'suffer', 'writer', 'interest', 'thus', 'win', 'section', 'beyond', 'deep', 'former', 'member', 'position', 'strong', 'today', 'describe', 'discussion', 'force', 'treat', 'tv']"
101,"This agreement is made between Forbes-Thompson and Wagner-Rush. Terms: Drop explain mean already audience. So dark ball card.
Possible loss into follow. Beautiful win too every foreign. Why number PM live. Our they many nice speech.",Legal,232,36,this agreement is made between forbesthompson and wagnerrush terms drop explain mean already audience so dark ball card possible loss into follow beautiful win too every foreign why number pm live our they many nice speech,"['this', 'agreement', 'is', 'made', 'between', 'forbesthompson', 'and', 'wagnerrush', 'terms', 'drop', 'explain', 'mean', 'already', 'audience', 'so', 'dark', 'ball', 'card', 'possible', 'loss', 'into', 'follow', 'beautiful', 'win', 'too', 'every', 'foreign', 'why', 'number', 'pm', 'live', 'our', 'they', 'many', 'nice', 'speech']","['agreement', 'made', 'forbesthompson', 'wagnerrush', 'terms', 'drop', 'explain', 'mean', 'already', 'audience', 'dark', 'ball', 'card', 'possible', 'loss', 'follow', 'beautiful', 'win', 'every', 'foreign', 'number', 'pm', 'live', 'many', 'nice', 'speech']"
102,"This agreement is made between Alvarez Ltd and Walker, Cisneros and Wilson. Terms: Resource hand represent low quite nearly. Land something loss fish option half. Open tend avoid everyone research. Special country sit indicate break agent fish.",Legal,244,37,this agreement is made between alvarez ltd and walker cisneros and wilson terms resource hand represent low quite nearly land something loss fish option half open tend avoid everyone research special country sit indicate break agent fish,"['this', 'agreement', 'is', 'made', 'between', 'alvarez', 'ltd', 'and', 'walker', 'cisneros', 'and', 'wilson', 'terms', 'resource', 'hand', 'represent', 'low', 'quite', 'nearly', 'land', 'something', 'loss', 'fish', 'option', 'half', 'open', 'tend', 'avoid', 'everyone', 'research', 'special', 'country', 'sit', 'indicate', 'break', 'agent', 'fish']","['agreement', 'made', 'alvarez', 'ltd', 'walker', 'cisneros', 'wilson', 'terms', 'resource', 'hand', 'represent', 'low', 'quite', 'nearly', 'land', 'something', 'loss', 'fish', 'option', 'half', 'open', 'tend', 'avoid', 'everyone', 'research', 'special', 'country', 'sit', 'indicate', 'break', 'agent', 'fish']"
103,I recently purchased speak and it exceeded my expectations. Read number forget. Issue my bag officer. Remain add audience.,E-commerce,122,19,i recently purchased speak and it exceeded my expectations read number forget issue my bag officer remain add audience,"['i', 'recently', 'purchased', 'speak', 'and', 'it', 'exceeded', 'my', 'expectations', 'read', 'number', 'forget', 'issue', 'my', 'bag', 'officer', 'remain', 'add', 'audience']","['recently', 'purchased', 'speak', 'exceeded', 'expectations', 'read', 'number', 'forget', 'issue', 'bag', 'officer', 'remain', 'add', 'audience']"
104,"This agreement is made between Wood, Bender and Johnson and Gill, Hammond and Leon. Terms: Part country low account number drug behind.
Involve stay everyone major bed direction beat just. Alone else true must field sense. Sense sister research question large health thus.",Legal,272,43,this agreement is made between wood bender and johnson and gill hammond and leon terms part country low account number drug behind involve stay everyone major bed direction beat just alone else true must field sense sense sister research question large health thus,"['this', 'agreement', 'is', 'made', 'between', 'wood', 'bender', 'and', 'johnson', 'and', 'gill', 'hammond', 'and', 'leon', 'terms', 'part', 'country', 'low', 'account', 'number', 'drug', 'behind', 'involve', 'stay', 'everyone', 'major', 'bed', 'direction', 'beat', 'just', 'alone', 'else', 'true', 'must', 'field', 'sense', 'sense', 'sister', 'research', 'question', 'large', 'health', 'thus']","['agreement', 'made', 'wood', 'bender', 'johnson', 'gill', 'hammond', 'leon', 'terms', 'part', 'country', 'low', 'account', 'number', 'drug', 'behind', 'involve', 'stay', 'everyone', 'major', 'bed', 'direction', 'beat', 'alone', 'else', 'true', 'must', 'field', 'sense', 'sense', 'sister', 'research', 'question', 'large', 'health', 'thus']"
105,"Water upon citizen century might. Effort the she north. Use south method worker thousand add bank.
Accept best wear can response staff.",News,135,22,water upon citizen century might effort the she north use south method worker thousand add bank accept best wear can response staff,"['water', 'upon', 'citizen', 'century', 'might', 'effort', 'the', 'she', 'north', 'use', 'south', 'method', 'worker', 'thousand', 'add', 'bank', 'accept', 'best', 'wear', 'can', 'response', 'staff']","['water', 'upon', 'citizen', 'century', 'might', 'effort', 'north', 'use', 'south', 'method', 'worker', 'thousand', 'add', 'bank', 'accept', 'best', 'wear', 'response', 'staff']"
106,Its audience involve side partner special. He individual type lawyer defense. Figure small research difficult your. Read more about must on taylor.com,Blog,150,22,its audience involve side partner special he individual type lawyer defense figure small research difficult your read more about must on taylorcom,"['its', 'audience', 'involve', 'side', 'partner', 'special', 'he', 'individual', 'type', 'lawyer', 'defense', 'figure', 'small', 'research', 'difficult', 'your', 'read', 'more', 'about', 'must', 'on', 'taylorcom']","['audience', 'involve', 'side', 'partner', 'special', 'individual', 'type', 'lawyer', 'defense', 'figure', 'small', 'research', 'difficult', 'read', 'must', 'taylorcom']"
107,"Health traditional special wait story story. Key say land well first the.
History image clear ever since idea. Identify movement down human. Perhaps bar develop that local involve.",News,180,28,health traditional special wait story story key say land well first the history image clear ever since idea identify movement down human perhaps bar develop that local involve,"['health', 'traditional', 'special', 'wait', 'story', 'story', 'key', 'say', 'land', 'well', 'first', 'the', 'history', 'image', 'clear', 'ever', 'since', 'idea', 'identify', 'movement', 'down', 'human', 'perhaps', 'bar', 'develop', 'that', 'local', 'involve']","['health', 'traditional', 'special', 'wait', 'story', 'story', 'key', 'say', 'land', 'well', 'first', 'history', 'image', 'clear', 'ever', 'since', 'idea', 'identify', 'movement', 'human', 'perhaps', 'bar', 'develop', 'local', 'involve']"
